step,loss,dpo_loss,pos_loss
298,0.472249,0.472249,0.000000
299,0.585641,0.585641,0.000000
300,0.732897,0.732897,0.000000
301,0.447349,0.447349,0.000000
302,0.484284,0.484284,0.000000
303,0.486512,0.486512,0.000000
304,0.740926,0.740926,0.000000
305,0.559045,0.559045,0.000000
306,0.705629,0.705629,0.000000
307,5.578437,0.711093,4.867344
308,0.363635,0.363635,0.000000
309,0.333040,0.333040,0.000000
310,0.275926,0.275926,0.000000
311,1.096817,0.557182,0.539635
312,0.645977,0.443576,0.202401
313,0.337132,0.337132,0.000000
314,0.469113,0.469113,0.000000
315,1.498759,0.485724,1.013036
316,0.392825,0.392825,0.000000
317,0.357672,0.357672,0.000000
318,0.491656,0.491656,0.000000
319,0.645339,0.645339,0.000000
320,0.461103,0.461103,0.000000
321,0.427428,0.427428,0.000000
322,0.592152,0.592152,0.000000
323,0.697203,0.495771,0.201431
324,0.166870,0.166870,0.000000
325,0.304233,0.304233,0.000000
326,0.580522,0.580522,0.000000
327,0.608637,0.608637,0.000000
328,0.374957,0.374957,0.000000
329,0.406065,0.406065,0.000000
330,0.374134,0.374134,0.000000
331,0.545243,0.545243,0.000000
332,0.333430,0.333430,0.000000
333,0.642273,0.642273,0.000000
334,0.356503,0.356503,0.000000
335,0.338629,0.338629,0.000000
336,0.629337,0.629337,0.000000
337,0.614122,0.614122,0.000000
338,0.372702,0.372702,0.000000
339,0.631551,0.631551,0.000000
340,0.388963,0.388963,0.000000
341,0.380288,0.380288,0.000000
342,0.580278,0.580278,0.000000
343,0.295335,0.295335,0.000000
344,0.404055,0.404055,0.000000
345,0.614080,0.614080,0.000000
346,0.636508,0.636508,0.000000
347,0.413530,0.413530,0.000000
348,0.291261,0.291261,0.000000
349,0.360376,0.360376,0.000000
350,0.308569,0.308569,0.000000
351,0.459040,0.459040,0.000000
352,0.476590,0.476590,0.000000
353,0.270557,0.270557,0.000000
354,0.385313,0.385313,0.000000
355,0.545180,0.545180,0.000000
356,0.455435,0.455435,0.000000
357,0.204892,0.204892,0.000000
358,4.485610,0.448694,4.036916
359,0.555957,0.555957,0.000000
360,0.500236,0.500236,0.000000
361,0.535126,0.535126,0.000000
362,0.459659,0.459659,0.000000
363,0.483096,0.483096,0.000000
364,0.375891,0.375891,0.000000
365,0.310606,0.310606,0.000000
366,0.320544,0.320544,0.000000
367,0.618019,0.618019,0.000000
368,0.519998,0.519998,0.000000
369,0.497127,0.497127,0.000000
370,0.526244,0.481190,0.045054
371,0.543861,0.543861,0.000000
372,0.553315,0.553315,0.000000
373,0.422840,0.422840,0.000000
374,0.545762,0.545762,0.000000
375,0.387818,0.387818,0.000000
376,0.520827,0.520827,0.000000
377,0.387851,0.387851,0.000000
378,0.427302,0.427302,0.000000
379,0.387515,0.387515,0.000000
380,0.399929,0.399929,0.000000
381,0.531009,0.531009,0.000000
382,0.526259,0.526259,0.000000
383,0.258675,0.258675,0.000000
384,0.571148,0.571148,0.000000
385,0.553148,0.553148,0.000000
386,0.627739,0.627739,0.000000
387,0.338022,0.338022,0.000000
388,0.795613,0.795613,0.000000
389,0.436347,0.436347,0.000000
390,0.757205,0.662398,0.094808
391,0.402943,0.402943,0.000000
392,0.468909,0.468909,0.000000
393,0.417963,0.417963,0.000000
394,0.623204,0.623204,0.000000
395,1.961320,0.525605,1.435715
396,0.861429,0.596048,0.265381
397,0.719899,0.581844,0.138054
398,0.500678,0.500678,0.000000
399,0.488998,0.488998,0.000000
400,0.343245,0.343245,0.000000
401,0.071493,0.071493,0.000000
402,0.386676,0.386676,0.000000
403,0.374058,0.374058,0.000000
404,0.576648,0.576648,0.000000
405,0.497776,0.497776,0.000000
406,0.405274,0.405274,0.000000
407,0.596361,0.596361,0.000000
408,0.454559,0.454559,0.000000
409,0.359933,0.359933,0.000000
410,0.472996,0.472996,0.000000
411,0.336518,0.336518,0.000000
412,0.000000,0.000000,0.000000
